#     Start     Position                         
#     -46466.4889     -14705.1693     1.1521 
#     Num.     of     WP                    
	131
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
     122    -46464.5587     -14701.1043     -1     0     0     0
     123     -46464.7732     -14701.556      -1     0     0     0
     124     -46464.9876     -14702.0076     -1     0     0     0
     125     -46465.2021     -14702.4593     -1     0     0     0
     126     -46465.4166     -14702.911      -1     0     0     0
     127     -46465.631      -14703.3626     -1     0     0     0
     128     -46465.8455     -14703.8143     -0.7     0     0     0
     129     -46466.06	      -14704.266      -0.5     0     0     0
     130     -46466.2744     -14704.7176     -0.3	 0     0     0
     131     -46466.4889     -14705.1693     -0.1     0     0     0
