#     Num.     of     WP                    
     770                              
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
#     真中のレーン                              
     109     -46495.9115     -14692.6503     0.4     0     0     1
     110     -46493.8302     -14693.1691     0.5     1     0     1
                                   
#####     ３回本目のレーン（左）     #####                         
     111     -46491.8167     -14693.5919     0.5     0     0     0
     112     -46489.8126     -14693.916     1.7731     0     0     0
     113     -46487.4392     -14694.5301     2.396     0     0     0
     114     -46485.3698     -14694.8709     1.7325     0     0     0
     115     -46483.3744     -14695.3122     2.137     0     0     0
     116     -46481.1931     -14695.7266     2.3898     0     0     0
     117     -46478.9163     -14696.1706     2.3958     0     0     0
     118     -46476.6581     -14696.6217     2.3146     0     0     0
     119     -46474.4316     -14697.0626     2.2858     0     0     0
     120     -46472.2682     -14697.5085     2.1706     0     0     0
     121     -46470.0537     -14697.9531     2.1456     0     0     0
     122     -46467.828     -14698.4245     2.2639     0     0     0
     123     -46465.626     -14698.8654     2.1608     0     0     0
     124     -46463.39     -14699.2963     2.1535     0     0     0
     125     -46461.1943     -14699.7489     2.2217     0     0     0
     126     -46459.0232     -14700.2084     2.1805     0     0     0
     127     -46456.8502     -14700.6897     2.3569     0     0     0
     128     -46454.6752     -14701.2252     2.3838     0     0     0
     129     -46452.5428     -14701.7512     2.2685     0     0     0
     130     -46450.3257     -14702.1301     2.1988     0     0     0
     131     -46448.2377     -14702.6476     2.068     0     0     0
     132     -46446.2062     -14703.16     1.8629     0     0     0
     133     -46444.1098     -14703.6188     1     0     0     0
     134     -46442.0858     -14704.01     0.7     0     0     0
     135     -46440.0644     -14704.672     0.5     2     0     0
                                   
#####     ４回目の切り返し（左手前）     #####                         
     136     -46438.6258     -14706.1125     0.5     0     0     1
     137     -46438.3147     -14708.3263     0.5     0     0     1
     138     -46438.3691     -14708.5825     0.4     0     0     1
     139     -46437.5641     -14706.6426     -0.4     0     0     1
     140     -46436.772     -14705.5857     -0.4996     0     0     1
     141     -46438.4575     -14706.768     0.4     0     0     1
     142     -46440.5814     -14706.72     0.4     0     0     1
     143     -46442.7263     -14706.1424     0.5     1     0     1
                                   
#####     ４回本目のレーン（左）     #####                         
     144     -46445.0431     -14705.579     1.9526     0     0     0
     145     -46447.0393     -14705.099     2.0716     0     0     0
     146     -46449.1505     -14704.6468     2.1388     0     0     0
     147     -46451.8034     -14704.1048     2.2553     0     0     0
     148     -46453.9311     -14703.6373     2.1313     0     0     0
     149     -46456.0604     -14703.1986     2.153     0     0     0
     150     -46458.1709     -14702.7431     2.1436     0     0     0
     151     -46460.3558     -14702.2818     2.2603     0     0     0
     152     -46462.4982     -14701.8596     2.1193     0     0     0
     153     -46464.6716     -14701.4277     2.0605     0     0     0
     154     -46466.7963     -14700.9822     2.2436     0     0     0
     155     -46468.9326     -14700.5488     2.1832     0     0     0
     156     -46471.0714     -14700.126     2.1443     0     0     0
     157     -46473.2066     -14699.6682     2.2824     0     0     0
     158     -46475.3106     -14699.2524     2.1117     0     0     0
     159     -46477.3377     -14698.8171     2.0509     0     0     0
     160     -46479.4251     -14698.3965     2.1443     0     0     0
     161     -46481.4748     -14697.9737     2.1016     0     0     0
     162     -46483.627     -14697.5394     2.406     0     0     0
     163     -46485.8576     -14697.0417     2.2767     0     0     0
     164     -46488.1266     -14696.5333     2.2466     0     0     0
     165     -46490.1561     -14696.1788     1.6445     0     0     0
     166     -46492.1598     -14695.726     1.7668     0     0     0
     167     -46494.4714     -14695.3568     1.8997     0     0     0
     168     -46496.7393     -14694.9112     1     0     0     0
     169     -46498.7902     -14694.5106     0.7     2     0     0
                                   
#####     ５回目の切り返し（左奥）     #####                         
     170     -46500.8695     -14694.2798     0.4     0     0     1
     171     -46500.8323     -14694.2842     -0.4     0     0     1
     172     -46498.725     -14694.2298     -1.3593     0     0     1
     173     -46496.8303     -14693.3391     -1.0448     0     0     1
     174     -46496.5962     -14693.1384     -0.4     0     0     1
     175     -46497.9728     -14694.9221     0.4     0     0     1
     176     -46498.1419     -14697.2344     0.5     0     0     1
     177     -46496.7385     -14698.7398     0.4     0     0     1
     178     -46496.7962     -14698.7111     -0.4     0     0     1
     179     -46498.5984     -14697.5334     -0.9797     0     0     1
     180     -46500.4854     -14696.7767     -0.3032     0     0     1
     181     -46500.2703     -14696.8366     0.4     0     0     1
     182     -46498.1666     -14697.0933     0.5     0     0     1
     183     -46495.98     -14697.3109     0.5     0     0     1
     184     -46493.7939     -14697.9244     0.6     0     0     1
     185     -46491.7303     -14698.3169     0.7     1     0     1
                                   
#####     ５回本目のレーン（左）     #####                         
     186     -46489.6652     -14698.7174     2.2074     0     0     0
     187     -46487.5656     -14699.2118     2.2845     0     0     0
     188     -46485.3961     -14699.6296     2.1911     0     0     0
     189     -46483.0778     -14700.0627     2.3548     0     0     0
     190     -46480.7461     -14700.5131     2.292     0     0     0
     191     -46478.5451     -14700.97     2.2169     0     0     0
     192     -46476.2696     -14701.4312     2.4156     0     0     0
     193     -46474.0622     -14701.8985     2.1874     0     0     0
     194     -46471.8481     -14702.3508     2.2176     0     0     0
     195     -46469.6258     -14702.7678     2.3895     0     0     0
     196     -46467.3716     -14703.2159     2.3643     0     0     0
     197     -46465.1356     -14703.661     2.3045     0     0     0
     198     -46462.9494     -14704.1217     2.1396     0     0     0
     199     -46460.7453     -14704.6352     2.2578     0     0     0
     200     -46458.6167     -14705.0942     2.2155     0     0     0
     201     -46456.4369     -14705.5341     2.1563     0     0     0
     202     -46454.3135     -14705.972     2.1353     0     0     0
     203     -46452.2403     -14706.4036     2.0551     0     0     0
     204     -46450.1574     -14706.8571     2.1398     0     0     0
     205     -46447.9767     -14707.3401     2.3148     0     0     0
     206     -46445.8558     -14707.8169     2.1941     0     0     0
     207     -46443.8446     -14708.3357     1     0     0     0
     208     -46441.7703     -14708.8592     0.7     0     0     0
     209     -46439.7708     -14709.4454     0.5     2     0     0
                                   
#####     ６回目の切り返し（左手前）     #####                         
     210     -46437.8981     -14710.377     0.5     0     0     1
     211     -46436.6141     -14711.9645     0.5     0     0     1
     212     -46436.5502     -14714.1833     0.5     0     0     1
     213     -46436.628     -14714.4318     0.4     0     0     1
     214     -46435.6699     -14712.4223     -0.4     0     0     1
     215     -46434.5053     -14711.1041     -0.4889     0     0     1
     216     -46436.2536     -14712.1263     0.4     0     0     1
     217     -46438.2894     -14711.9438     0.4     0     0     1
     218     -46440.2948     -14711.3148     0.5     1     0     1
                                   
#####     ６回本目のレーン（左）     #####                         
     219     -46442.3898     -14710.8813     0.7     0     0     0
     220     -46444.6654     -14710.4208     1.9874     0     0     0
     221     -46446.715     -14709.9649     2.0852     0     0     0
     222     -46448.8205     -14709.5329     2.0582     0     0     0
     223     -46450.9708     -14709.0767     2.2323     0     0     0
     224     -46453.0715     -14708.6103     2.195     0     0     0
     225     -46455.197     -14708.1635     2.115     0     0     0
     226     -46457.3474     -14707.7411     2.1618     0     0     0
     227     -46459.4661     -14707.3271     2.221     0     0     0
     228     -46461.5397     -14706.8536     2.0653     0     0     0
     229     -46463.6242     -14706.4562     2.2187     0     0     0
     230     -46465.6897     -14706.0471     2.1165     0     0     0
     231     -46467.6794     -14705.6543     2.019     2     0     0
                                   
#####     ７回目の切り返し（一番左の中央）     #####                         
     232     -46469.7351     -14705.294     1     0     0     1
     233     -46471.7452     -14705.0355     0.5     0     0     1
     234     -46473.7932     -14705.1303     0.5     0     0     1
     235     -46475.6591     -14706.0151     0.4     0     0     1
     236     -46475.6528     -14705.9961     -0.4     0     0     1
     237     -46474.1713     -14704.3967     -1.3532     0     0     1
     238     -46473.2946     -14702.5537     -0.755     0     0     1
     239     -46473.3113     -14702.6377     0.4     0     0     1
     240     -46473.5789     -14704.8976     0.4     0     0     1
     241     -46472.5243     -14706.6372     0.5     0     0     1
     242     -46470.3841     -14707.482     0.5     0     0     1
     243     -46468.1527     -14707.6935     0.6     1     0     1
                                   
#####     ７回本目のレーン（左）     #####                         
     244     -46466.0896     -14708.0692     1.5805     0     0     0
     245     -46463.9965     -14708.5569     1.1432     0     0     0
     246     -46461.8188     -14709.0884     1.2941     0     0     0
     247     -46459.5547     -14709.5898     1.8239     0     0     0
     248     -46457.3571     -14710.0305     1.9838     0     0     0
     249     -46455.3799     -14710.4864     2.1074     0     0     0
