#     Start     Position                         
#     -46466.4889     -14705.1693     1.1521                    
#     Num.     of     WP                    
     57                              
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
     1     -46466.4889     -14705.1693     0     0     0     0
     2     -46463.7999     -14699.5063     1     1     0     0
     3     -46459.3825     -14689.9411     1     2     0     0
#     Circle                              
                                   
     4     -46459.1418     -14689.2669     1     0     0     1
     5     -46459.0469     -14688.7763     1     0     0     1
     6     -46459.014     -14688.2778     1     0     0     1
     7     -46459.0436     -14687.779     1     0     0     1
     8     -46459.135     -14687.2877     1     0     0     1
     9     -46459.287     -14686.8117     1     0     0     1
     10     -46459.4972     -14686.3584     1     0     0     1
     11     -46459.7622     -14685.9348     1     0     0     1
     12     -46460.078     -14685.5476     1     0     0     1
     13     -46460.4396     -14685.2027     1     0     0     1
     14     -46460.8414     -14684.9057     1     0     0     1
     15     -46461.2771     -14684.661     1     0     0     1
     16     -46461.7399     -14684.4725     1     0     0     1
     17     -46462.2225     -14684.3433     1     0     0     1
     18     -46462.7175     -14684.2752     1     0     0     1
     19     -46463.2172     -14684.2693     1     0     0     1
     20     -46463.7136     -14684.3258     1     0     0     1
     21     -46464.1992     -14684.4438     1     0     0     1
     22     -46464.6663     -14684.6214     1     0     0     1
     23     -46465.1075     -14684.8558     1     0     0     1
     24     -46465.5161     -14685.1434     1     0     0     1
     25     -46465.8857     -14685.4797     1     0     0     1
     26     -46466.2105     -14685.8594     1     0     0     1
     27     -46466.4853     -14686.2767     1     0     0     1
     28     -46466.706     -14686.725     1     0     0     1
     29     -46466.8691     -14687.1973     1     0     0     1
     30     -46466.9721     -14687.6863     1     0     0     1
     31     -46467.0132     -14688.1842     1     0     0     1
     32     -46466.992     -14688.6835     1     0     0     1
     33     -46466.9087     -14689.1761     1     0     0     1
     34     -46466.7646     -14689.6546     1     0     0     1
     35     -46466.562     -14690.1114     1     0     0     1
     36     -46466.304     -14690.5393     1     0     0     1
     37     -46465.9947     -14690.9317     1     0     0     1
     38     -46465.6389     -14691.2825     1     0     0     1
     39     -46465.2421     -14691.5862     1     0     0     1
     40     -46464.8105     -14691.8381     1     0     0     1
     41     -46464.3509     -14692.0342     1     0     0     1
     42     -46463.8705     -14692.1714     1     0     0     1
     43     -46463.3766     -14692.2477     1     0     0     1
     44     -46462.7446     -14692.2551     1     0     0     1
     45     -46462.2491     -14692.1904     1     0     0     1
     46     -46461.7656     -14692.0644     1     0     0     1
     47     -46461.3016     -14691.8791     1     0     0     1
     48     -46460.8642     -14691.6374     1     0     0     1
     49     -46460.4605     -14691.343     1     0     0     1
     50     -46460.0965     -14691.0007     1     0     0     1
     51     -46459.7781     -14690.6156     1     0     0     1
     52     -46459.5102     -14690.1938     1     0     0     1
     53     -46459.297     -14689.7419     1     0     0     1
                                   
     54     -46456.9405     -14684.1017     1     0     0     0
#     Backward                              
     55     -46459.3825     -14689.9411     -1     0     0     0
     56     -46463.7999     -14699.5063     -1     0     0     0
     57     -46466.4889     -14705.1693     -1     0     0     0
