# Num. of WP    
3818
# ID WP-x[m] WP-y [m] Velocity [m/s]- CUT-Flag 1:down:2:up- area-type gain-id    
#真中のレーン  
 105  -46488.6421  -14687.7269 1.8 0 0 0
 106  -46488.9904  -14687.667 1.7 0 0 0
 107  -46489.3424  -14687.6014 1.7 0 0 0
 108  -46489.7032  -14687.5212 1.8 0 0 0
 109  -46490.0731  -14687.4661 1.8 0 0 0
 110  -46490.456  -14687.3989 1.9 0 0 0
 111  -46490.793  -14687.3544 1.6 0 0 0
 112  -46491.1583  -14687.292 1.8 0 0 0
 113  -46491.4683  -14687.2251 1.5 0 0 0
 114  -46491.7818  -14687.1624 1.5 0 0 0
 115  -46492.1123  -14687.0939 1.6 0 0 0
 116  -46492.4455  -14687.0174 1.7 0 0 0
 117  -46492.7631  -14686.954 1.6 0 0 0
 118  -46493.0824  -14686.8988 1.6 0 0 0
 119  -46493.4014  -14686.8672 1.6 0 0 0
 120  -46493.9837  -14686.7809 1.5 0 0 0
 121  -46494.311  -14686.729 1.6 0 0 0
 122  -46494.61  -14686.6737 1.5 0 0 0
 123  -46494.9439  -14686.6347 1.6 0 0 0
 124  -46495.2514  -14686.5774 1.5 0 0 0
 125  -46495.7935  -14686.4697 1.2 0 0 0
 126  -46496.3195  -14686.368 1.2 0 0 0
 127  -46496.8027  -14686.2599 1.0 0 0 0
 128  -46497.2683  -14686.1277 1.0 0 0 0

# １回目の切り返し（左奥）
#Forward
 129  -46497.6905  -14686.008 0.8 2 0 0
 130  -46498.0154  -14685.9293 0.4 0 0 0
 131  -46498.3688  -14685.8658 0.2 0 0 0
#Backward
 132  -46498.1826  -14685.9047  -0.3 0 0 0
 133  -46497.8732  -14685.9709  -0.3 0 0 0
 134  -46497.4918  -14686.035  -0.5 0 0 0
 135  -46497.0981  -14686.1113  -0.5 0 0 0
 136  -46496.684  -14686.1663  -0.5 0 0 0
 137  -46496.2428  -14686.1871  -0.5 0 0 0
 138  -46495.8227  -14686.1679  -0.5 0 0 0
 139  -46495.4059  -14686.1283  -0.5 0 0 0
 140  -46494.9911  -14686.0617  -0.5 0 0 0
 141  -46494.5457  -14685.9566  -0.4 0 0 0
 142  -46494.1442  -14685.8016  -0.3 0 0 0
# 143  -46493.8111  -14685.6721  -0.2 0 0 0
 144  -46493.7806  -14685.6641  -0.2 0 0 0
#Forward
 145  -46494.122  -14685.8293 0.3 0 0 0
 146  -46494.5949  -14686.1354 0.4 0 0 0
 147  -46494.8389  -14686.3284 0.5 0 0 0
 148  -46495.1021  -14686.5235 0.7 0 0 0
 149  -46495.6085  -14686.9753 0.7 0 0 0
 150  -46495.7614  -14687.2518 0.7 0 0 0
 151  -46495.9261  -14687.5574 0.7 0 0 0
 152  -46496.1462  -14688.1592 0.7 0 0 0
 153  -46496.1694  -14688.5177 0.7 0 0 0
 154  -46496.1352  -14689.1903 0.7 0 0 0
 155  -46496.0502  -14689.5214 0.7 0 0 0
 156  -46495.9252  -14689.815  0.7 0 0 0
 157  -46495.8086  -14690.1065 0.7 0 0 0
 158  -46495.6732  -14690.3868 0.4 0 0 0
 159  -46495.3539  -14690.7874 0.4 0 0 0
 160  -46495.2876  -14690.8818 0.2 0 0 0
#Backward
 161  -46495.5643  -14690.5679  -0.3 0 0 0
 162  -46495.7656  -14690.2866  -0.4 0 0 0
 163  -46495.9408  -14689.9873  -0.5 0 0 0
 164  -46496.1222  -14689.6956  -0.5 0 0 0
 165  -46496.3212  -14689.3837  -0.5 0 0 0
 166  -46496.5056  -14689.0837  -0.5 0 0 0
 167  -46496.6624  -14688.7863  -0.5 0 0 0
 168  -46496.8305  -14688.5222  -0.5 0 0 0
 169  -46497.0011  -14688.2612  -0.5 0 0 0
 170  -46497.1943  -14688.0186  -0.4 0 0 0
 171  -46497.4377  -14687.7981  -0.3 0 0 0
 172  -46497.7075  -14687.5284  -0.2 0 0 0
#Forward
 173  -46497.6738  -14687.5654 0.3 0 0 0
 174  -46497.4  -14687.7765 0.7 0 0 0
 175  -46497.0463  -14687.9897 0.7 0 0 0
 176  -46496.7555  -14688.1259 0.5 0 0 0
 177  -46496.4663  -14688.2672 0.3 1 0 0

# １本目のレーン（左）
 178  -46496.1782  -14688.3669 0.3 0 0 0
 179  -46495.8755  -14688.428 0.3 0 0 0
 180  -46495.5594  -14688.4806 0.8 0 0 0
 181  -46495.2478  -14688.5283 1.0 0 0 0
 182  -46494.814  -14688.6264 1.4 0 0 0
 183  -46494.4291  -14688.6861 1.4 0 0 0
 184  -46493.9625  -14688.7654 1.5 0 0 0
 185  -46493.4254  -14688.8566 1.4 0 0 0
 186  -46493.1157  -14688.8945 1.5 0 0 0
 187  -46492.8158  -14688.9426 1.5 0 0 0
 188  -46492.4703  -14688.9918 1.7 0 0 0
 189  -46492.1367  -14689.0289 1.6 0 0 0
 190  -46491.7593  -14689.086 1.9 0 0 0
 191  -46491.3857  -14689.1339 1.8 0 0 0
 192  -46491.0029  -14689.1843 1.9 0 0 0
 193  -46490.6295  -14689.2458 1.8 0 0 0
 194  -46490.2735  -14689.3015 1.8 0 0 0
 195  -46489.9197  -14689.3594 1.7 0 0 0
 196  -46489.5741  -14689.4136 1.7 0 0 0
 197  -46489.199  -14689.4805 1.9 0 0 0
 198  -46488.8311  -14689.5461 1.8 0 0 0
 199  -46488.4808  -14689.6255 1.7 0 0 0
 200  -46488.143  -14689.697 1.7 0 0 0
 201  -46487.8087  -14689.7703 1.7 0 0 0
 202  -46487.1898  -14689.9017 1.6 0 0 0
 203  -46486.8524  -14689.9807 1.7 0 0 0
 204  -46486.5109  -14690.0612 1.7 0 0 0
 205  -46486.181  -14690.1495 1.7 0 0 0
 206  -46485.6365  -14690.1743 1.2 0 0 0
 207  -46485.1741  -14690.2164 1.1 0 0 0
 208  -46484.7818  -14690.3789 1 0 0 0
 209  -46484.2995  -14690.552 1.3 0 0 0
 210  -46483.7295  -14690.6842 1.4 0 0 0
 211  -46483.3714  -14690.7874 1.8 0 0 0
 212  -46483.0189  -14690.8596 1.7 0 0 0
 213  -46482.6586  -14690.9565 1.8 0 0 0
 214  -46481.9113  -14691.1243 1.9 0 0 0
 215  -46481.5136  -14691.2123 2 0 0 0
 216  -46481.113  -14691.299 2 0 0 0
 217  -46480.6763  -14691.3792 2.2 0 0 0
 218  -46480.2467  -14691.4648 2.1 0 0 0
 219  -46479.8312  -14691.543 2.1 0 0 0
 220  -46479.4233  -14691.6323 2 0 0 0
 221  -46478.9717  -14691.6847 2.2 0 0 0
 222  -46478.5348  -14691.747 2.2 0 0 0
 223  -46478.1321  -14691.8291 2 0 0 0
 224  -46477.6984  -14691.9064 2.2 0 0 0
 225  -46477.2637  -14691.9788 2.2 0 0 0
 226  -46476.8134  -14692.0394 2.2 0 0 0
 227  -46476.3916  -14692.11 2.1 0 0 0
 228  -46475.9576  -14692.195 2.2 0 0 0
 229  -46475.5317  -14692.2698 2.1 0 0 0
 230  -46475.0822  -14692.3457 2.2 0 0 0
 231  -46474.644  -14692.4179 2.2 0 0 0
 232  -46474.2216  -14692.4791 2.1 0 0 0
 233  -46473.8022  -14692.5505 2.1 0 0 0
 234  -46473.3532  -14692.6443 2.2 0 0 0
 235  -46472.9118  -14692.7232 2.2 0 0 0
 236  -46472.4828  -14692.7816 2.1 0 0 0
 237  -46472.043  -14692.8558 2.2 0 0 0
 238  -46471.6269  -14692.95 2.1 0 0 0
 239  -46471.2029  -14693.0283 2.1 0 0 0
 240  -46470.7465  -14693.1157 2.3 0 0 0
 241  -46470.3066  -14693.1907 2.2 0 0 0
 242  -46469.885  -14693.2581 2.1 0 0 0
 243  -46469.4499  -14693.3459 2.2 0 0 0
 244  -46469.0395  -14693.4191 2 0 0 0
 245  -46468.6515  -14693.4966 1.9 0 0 0
 246  -46468.2551  -14693.5807 2 0 0 0
 247  -46467.8768  -14693.6539 1.9 0 0 0
 248  -46467.5098  -14693.7214 1.8 0 0 0
 249  -46467.1055  -14693.803 2 0 0 0
 250  -46466.7573  -14693.8484 1.7 0 0 0
 251  -46466.391  -14693.9452 1.8 0 0 0
 252  -46466.0304  -14694.0675 1.9 0 0 0
 253  -46465.7115  -14694.1395 1.6 0 0 0
 254  -46465.368  -14694.2112 1.7 0 0 0
 255  -46465.0074  -14694.2969 1.8 0 0 0
 256  -46464.5975  -14694.3807 2 0 0 0
 257  -46464.1925  -14694.4685 2 0 0 0
 258  -46463.7589  -14694.5406 2.1 0 0 0
 259  -46463.3331  -14694.6127 2.1 0 0 0
 260  -46462.9315  -14694.6945 2 0 0 0
 261  -46462.5112  -14694.7723 2.1 0 0 0
 262  -46462.0873  -14694.8345 2.1 0 0 0
 263  -46461.661  -14694.9013 2.1 0 0 0
 264  -46461.2193  -14694.9894 2.2 0 0 0
 265  -46460.8026  -14695.0809 2.1 0 0 0
 266  -46460.3914  -14695.1645 2 0 0 0
 267  -46459.9602  -14695.2633 2.2 0 0 0
 268  -46459.5165  -14695.3517 2.2 0 0 0
 269  -46459.0697  -14695.4445 2.2 0 0 0
 270  -46458.6402  -14695.5599 2.2 0 0 0
 271  -46458.2183  -14695.6399 2.1 0 0 0
 272  -46457.7946  -14695.7624 2.2 0 0 0
 273  -46457.3642  -14695.8795 2.2 0 0 0
 274  -46456.9344  -14695.9339 2.1 0 0 0
 275  -46456.5347  -14696.0374 2 0 0 0
 276  -46456.1001  -14696.1313 2.2 0 0 0
 277  -46455.6778  -14696.23 2.1 0 0 0
 278  -46455.2526  -14696.308 2.1 0 0 0
 279  -46454.8375  -14696.3957 2.1 0 0 0
 280  -46454.4257  -14696.5031 2.1 0 0 0
 281  -46453.9812  -14696.5977 2.2 0 0 0
 282  -46453.5897  -14696.6986 2 0 0 0
 283  -46453.1859  -14696.7866 2 0 0 0
 284  -46452.7549  -14696.9264 2.2 0 0 0
 285  -46452.3616  -14696.9753 1.9 0 0 0
 286  -46451.9465  -14697.0709 2.1 0 0 0
 287  -46451.5637  -14697.1492 1.9 0 0 0
 288  -46451.1781  -14697.2461 1.9 0 0 0
 289  -46450.7428  -14697.3324 2.2 0 0 0
 290  -46450.3311  -14697.4401 2.1 0 0 0
 291  -46449.947  -14697.5451 1.9 0 0 0
 292  -46449.5532  -14697.6264 2 0 0 0
 293  -46449.1548  -14697.7139 2 0 0 0
 294  -46448.7727  -14697.8208 1.9 0 0 0
 295  -46448.4329  -14697.9277 1.7 0 0 0
 296  -46448.0711  -14698.0187 1.8 0 0 0
 297  -46447.7124  -14698.0937 1.8 0 0 0
 298  -46447.352  -14698.1525 1.8 0 0 0
 299  -46447.0346  -14698.2248 1.6 0 0 0
 300  -46446.7063  -14698.3073 1.6 0 0 0
 301  -46446.3632  -14698.3628 1.4 0 0 0
 302  -46446.0053  -14698.4185 1.2 0 0 0
 303  -46445.7001  -14698.4884 1.0 0 0 0
 304  -46445.3774  -14698.5698 0.9 0 0 0
 305  -46445.0482  -14698.6351 0.6 0 0 0

# ２回目の切り返し（左手前）
#Forward
 306  -46444.4456  -14698.7746 0.6 2 0 0
 307  -46444.139  -14698.8652 0.6 0 0 0
 308  -46443.8526  -14698.9698 0.6 0 0 0
 309  -46443.5608  -14699.0721 0.6 0 0 0
 310  -46443.2704  -14699.1798 0.6 0 0 0
 311  -46443.0104  -14699.334 0.6 0 0 0
 312  -46442.7507  -14699.4952 0.6 0 0 0
 313  -46442.235  -14699.8559 0.6 0 0 0
 314  -46442.0196  -14700.0748 0.6 0 0 0
 315  -46441.6574  -14700.5453 0.6 0 0 0
 316  -46441.385  -14701.0646 0.4 0 0 0
 317  -46441.1722  -14701.6113 0.3 0 0 0
 318  -46441.0802  -14702.0428 0.2 0 0 0
#Backward
# 319  -46441.0854  -14701.9909  -0.3 0 0 0
 320  -46441.1205  -14701.6766  -0.3 0 0 0
 321  -46441.1843  -14701.2394  -0.4 0 0 0
 322  -46441.23  -14700.7779  -0.5 0 0 0
 323  -46441.2687  -14700.3362  -0.5 0 0 0
 324  -46441.291  -14699.8711  -0.5 0 0 0
 325  -46441.2803  -14699.4044  -0.5 0 0 0
 326  -46441.2385  -14698.9242  -0.4 0 0 0
 327  -46441.2134  -14698.5004  -0.3 0 0 0
 328  -46441.1841  -14698.1356  -0.2 0 0 0
#Forward
 329  -46441.2037  -14698.3604 0.3 0 0 0
 330  -46441.2635  -14698.7376 0.5 0 0 0
 331  -46441.393  -14699.2495 0.6 0 0 0
 332  -46441.6078  -14699.8147 0.6 0 0 0
 333  -46441.9315  -14700.335 0.6 0 0 0
 334  -46442.3225  -14700.758 0.6 0 0 0
 335  -46442.8113  -14701.0313 0.6 0 0 0
 336  -46443.276  -14701.1916 0.6 0 0 0
 337  -46443.7121  -14701.2376 0.6 0 0 0
 338  -46444.1328  -14701.1951 0.6 0 0 0
 339  -46444.5452  -14701.0883 0.6 0 0 0
 340  -46444.9005  -14700.9906 0.5 0 0 0
 341  -46445.2534  -14700.8875 0.5 0 0 0
 342  -46445.5569  -14700.7689 0.3 0 0 0
 343  -46445.979  -14700.6116 0.2 0 0 0
#Backward
 344  -46445.9606  -14700.6167  -0.2 0 0 0
 345  -46445.6601  -14700.6917  -0.4 0 0 0
 346  -46445.3163  -14700.7882  -0.4 0 0 0
 347  -46445.2049  -14700.8163  -0.2 0 0 0

# ２回本目のレーン（左）
 348  -46445.5213  -14700.7231  0.3 1 0 0 
 349  -46445.906  -14700.6436 0.5 0 0 0
 350  -46446.2239  -14700.5858 0.8 0 0 0
 351  -46446.6444  -14700.5236 1.1 0 0 0
 352  -46447.1709  -14700.4348 1.2 0 0 0
 353  -46447.7383  -14700.3147 1.3 0 0 0
 354  -46448.0611  -14700.2518 1.5 0 0 0
 355  -46448.3895  -14700.1662 1.5 0 0 0
 356  -46448.7271  -14700.0822 1.5 0 0 0
 357  -46449.0798  -14700.0154 1.7 0 0 0
 358  -46449.4503  -14699.9771 1.8 0 0 0
